"date","releaseType","estimate_kgh","actual_kgh","technology"
2022-09-26 20:00:00,"1.7mStack",8.4205,20.8823529411765,"qogiB"
2022-09-26 20:00:00,"1.7mStack",0.53939,1.5,"qogiB"
2022-09-26 20:00:00,"1.7mStack",0.37984,0.25,"qogiB"
2022-09-26 20:00:00,"1.7mStack",21.952,20.8823529411765,"qogiB"
2022-09-26 20:00:00,"1.7mStack",0.50536,1.5,"qogiB"
2022-09-26 20:00:00,"1.7mStack",0.36427,0.25,"qogiB"
2022-09-26 20:00:00,"1.7mStack",3.8003,20.8823529411765,"qogiB"
2022-09-27 20:00:00,"1.7mStack",1.8517,39.7058823529412,"qogiB"
2022-09-27 20:00:00,"1.7mStack",0.29384,35.2941176470588,"qogiB"
2022-09-27 20:00:00,"1.7mStack",0.19876,49.7058823529412,"qogiB"
2022-09-27 20:00:00,"1.7mStack",2.4803,35.2941176470588,"qogiB"
2022-09-27 20:00:00,"1.7mStack",4.6972,49.7058823529412,"qogiB"
2022-09-27 20:00:00,"1.7mStack",3.1791,39.7058823529412,"qogiB"
2022-09-27 20:00:00,"1.7mStack",0.66472,49.7058823529412,"qogiB"
2022-09-27 20:00:00,"1.7mStack",13.521,39.7058823529412,"qogiB"
2022-09-27 20:00:00,"1.7mStack",3.3316,35.2941176470588,"qogiB"
2022-09-27 20:00:00,"4.8mStack",3.668,35.2941176470588,"qogiB"
2022-09-27 20:00:00,"4.8mStack",18.503,10,"qogiB"
2022-09-27 20:00:00,"4.8mStack",0.74859,0,"qogiB"
2022-09-27 20:00:00,"4.8mStack",1.9719,2.5,"qogiB"
2022-09-27 20:00:00,"4.8mStack",6.3028,5,"qogiB"
2022-09-27 20:00:00,"4.8mStack",0.99379,49.7058823529412,"qogiB"
2022-09-27 20:00:00,"3.4mStack",9.7438,35.2941176470588,"qogiB"
2022-09-27 20:00:00,"3.4mStack",14.123,10,"qogiB"
2022-09-27 20:00:00,"3.4mStack",0.44126,0,"qogiB"
2022-09-27 20:00:00,"3.4mStack",2.0112,2.5,"qogiB"
2022-09-27 20:00:00,"3.4mStack",1.677,5,"qogiB"
2022-09-27 20:00:00,"3.4mStack",1.3279,49.7058823529412,"qogiB"
2022-09-27 20:00:00,"ShedTaped",3.6226,2.5,"qogiB"
2022-09-27 20:00:00,"ShedTaped",1.0273,1.5,"qogiB"
2022-09-27 20:00:00,"ShedTaped",1.2802,5,"qogiB"
2022-09-27 20:00:00,"ShedTaped",0.52674,0,"qogiB"
2022-09-27 20:00:00,"ShedTaped",1.545,10,"qogiB"
2022-09-27 20:00:00,"ShedTaped",0.3776,0.25,"qogiB"
2022-09-27 20:00:00,"ShedUntaped",1.3101,10,"qogiB"
2022-09-27 20:00:00,"ShedUntaped",0.9911,5,"qogiB"
2022-09-27 20:00:00,"ShedUntaped",1.0654,1.5,"qogiB"
2022-09-27 20:00:00,"ShedUntaped",0.49553,2.5,"qogiB"
2022-09-25 20:00:00,"1.7mStack",1.16,0.25,"truckTDLAS"
2022-09-25 20:00:00,"1.7mStack",1.48,0,"truckTDLAS"
2022-09-25 20:00:00,"1.7mStack",0,0,"truckTDLAS"
2022-09-25 20:00:00,"1.7mStack",17.88,20.8823529411765,"truckTDLAS"
2022-09-25 20:00:00,"1.7mStack",3.76,20.8823529411765,"truckTDLAS"
2022-09-25 20:00:00,"1.7mStack",3.14,1.5,"truckTDLAS"
2022-09-25 20:00:00,"1.7mStack",0.6,1.5,"truckTDLAS"
